Region,Poblacion,Superficie,Fecha,Nuevos.Sintomaticos,Nuevos.Asintomaticos,Nuevos.No.Notificados,Nuevos.Confirmados,Tasa.Incidencia,Casos.Confirmados,Nuevos.Fallecidos,Casos.Fallecidos,Letalidad,Activos.Confirmados,Activos.Probables,Probables.Acumulados,Recuperados.Confirmados,Fecha.Primer.Contagiado,Periodo.Infeccioso,Pacientes.UCI,Examenes.PCR,Examenes.PCR.Acumulados,Tasa.Positividad,I.Movilidad,Residencias.Sanitarias,Cupos.Residencias.Sanitarias,Usuarios.Residencias.Sanitarias,Vacunados.Primera.Dosis,Vacunados.Segunda.Dosis,Vacunados.Tercera.Dosis,Vacunados.Cuarta.Dosis,Vacunados.Unica.Dosis
Arica y Parinacota,252110,16873,2022-04-14,11,5,2,18,"7,139740589",55196,0,807,"1,462062468",98,0,3439,54250,2020-03-19,757,1,483,627592,"3,726708075",0,1,24,5,0,0,0,0,0
Tarapaca,382773,42225,2022-04-14,17,5,3,25,"6,531286167",79296,1,1085,"1,36829096",89,0,10393,78096,2020-03-23,753,3,1962,902149,"1,27420999",0,2,147,43,0,0,0,0,0
Antofagasta,691854,126049,2022-04-14,20,18,10,48,"6,937879957",122096,1,1748,"1,431660333",272,1,6822,120047,2020-03-14,762,15,1515,1629580,"3,168316832",0,2,87,10,0,0,0,0,0
Atacama,314709,75176,2022-04-14,32,21,7,60,"19,06523169",65431,3,580,"0,8864299797",212,0,1743,64663,2020-03-14,762,4,697,721782,"8,608321377",0,1,30,12,0,0,0,0,0
Coquimbo,836096,40579,2022-04-14,75,33,22,130,"15,54845377",125334,2,1658,"1,322865304",437,0,9383,123254,2020-03-19,757,11,1576,1097080,"8,248730964",0,1,95,19,0,0,0,0,0
Valparaiso,1960170,16396,2022-04-14,223,31,113,367,"18,72286587",302969,12,5541,"1,828899986",1295,1,50200,296524,2020-03-16,760,38,4368,2646318,"8,402014652",0,1,204,15,0,0,0,0,0
Metropolitana,8125072,15403,2022-04-14,689,167,308,1164,"14,3260269",1345810,11,28129,"2,090116733",4993,6,161563,1314223,2020-03-04,772,188,18265,12526079,"6,372844238",0,3,526,74,0,0,0,0,0
OHiggins,991063,16387,2022-04-14,86,49,24,159,"16,04337968",148773,7,2495,"1,677051616",516,0,14803,145924,2020-03-19,757,9,1155,1176838,"13,76623377",0,1,24,14,0,0,0,0,0
Maule,1131939,30296,2022-04-14,159,24,40,223,"19,70070825",237535,4,2870,"1,208242996",760,3,10644,233903,2020-03-03,773,22,2952,1787175,"7,554200542",0,4,291,71,0,0,0,0,0
Nuble,511551,13178,2022-04-14,73,13,21,107,"20,91678054",99363,2,1085,"1,091955758",347,0,10179,97894,2020-03-12,764,8,1066,791940,"10,03752345",0,3,88,12,0,0,0,0,0
