acct_id;alpha;acct_num;owner_name;last_visit_dt;last_full_insp_dt;last_insp_stat;prem_addr;bin;number;street;communitydistrict;citycouncildistrict;bbl;cent_latitude;cent_longitude;zipcode;borough;census_tract;nta
1;P;4812798;BEN RIC FUR FASHIONS INC;03/23/2018 00:00:00;03/23/2018 00:00:00;APPROVAL;186-14 UNION TNPK;0;186-14;UNION TNPK;;;;;;;;;
2;P;6486682;RICHAL INC.;03/23/2018 00:00:00;03/23/2018 00:00:00;APPROVAL;179-10 UNION TNPK;0;179-10;UNION TNPK;;;;;;;;;
3;C;6743934;CROSSTOWN MGT. CORP.;03/29/2017 00:00:00;03/29/2017 00:00:00;NOV(HOLD);179-18 UNION TNPK;0;179-18;UNION TNPK;;;;;;;;;
4;RR;23012560;F.D.N.Y.;01/25/2016 00:00:00;01/25/2016 00:00:00;APPROVAL;34-11 HUNTERS POINT AVE;0;34-11;HUNTERS POINT AVE;;;;;;;;;
5;G;26087460;MTA NYC TRANSIT;08/21/2014 00:00:00;08/21/2014 00:00:00;APPROVAL;1 176 STREET STATION;0;1;176 STREET STATION;;;;;;;;;
6;G;27149681;ANTLER APARTMENT;06/10/2014 00:00:00;06/10/2014 00:00:00;NOT APPROVAL(W/REASON);2079 DOUGLAS BLVD;0;2079;DOUGLAS BLVD;;;;;;;;;
7;G;28029114;MTA NYC TRANSIT;07/25/2018 00:00:00;07/25/2018 00:00:00;NOT APPROVAL(VIO);1 BEACH 116 ST STAT;0;1;BEACH 116 ST STAT;;;;;;;;;
9;G;28069136;MTA NYC TRANSIT;06/30/2018 00:00:00;06/30/2018 00:00:00;NOT APPROVAL(VIO);3 CANAL ST STATION;0;3;CANAL ST STATION;;;;;;;;;
10;F;28084887;BAINBRIDGE CLUSTER ASSOC;01/15/2014 00:00:00;01/15/2014 00:00:00;APPROVAL;412 MCDONOUGH ST;0;412;MCDONOUGH ST;;;;;;;;;
11;G;28084895;BAINBRIDGE CLUSTER ASSOC;12/10/2014 00:00:00;12/10/2014 00:00:00;APPROVAL;412 MCDONOUGH ST;0;412;MCDONOUGH ST;;;;;;;;;
14;G;28106250;CHELSEA PIERS MGMT INC.;07/08/2015 00:00:00;08/26/2014 00:00:00;NOT APPROVAL(W/REASON);1 CHELSEA PIERS;0;1;CHELSEA PIERS;;;;;;;;;
15;G;28106268;CHELSEA PIERS MGMT INC.;10/28/2014 00:00:00;08/27/2014 00:00:00;NOT APPROVAL(W/REASON);1 CHELSEA PIERS;0;1;CHELSEA PIERS;;;;;;;;;
17;G;28129138;NYC RESTORATION PROJECT;01/29/2014 00:00:00;01/29/2014 00:00:00;APPROVAL;1 PETER JAY SHARP PL;0;1;PETER JAY SHARP PL;;;;;;;;;
